Country,Time,NEET,Exp_LMP,STR,Min_Wage
SVN,2016,11.576782,0.73,14.282,15506.1975872832
SVN,2017,10.914832,0.68,14.45,15562.8378953464
SVN,2018,9.6732864,0.61,10.341,16015.779236995
ESP,2013,27.151373,3.53,13.756,13277.3135539801
ESP,2014,24.314959,3.11,13.544,13297.3753458515
ESP,2015,22.820313,2.58,13.655,13432.6017767841
ESP,2016,21.675491,2.3,13.564,13594.3554505089
ESP,2017,19.869802,2.21,13.646,14404.5711425066
ESP,2018,19.058907,2.16,13.607,14731.7883338126
USA,2013,16.004404,0.35,15.347,16549.4596179196
USA,2014,15.047262,0.28,15.435,16285.2761266586
USA,2015,14.380193,0.28,15.354,16265.9802602064
USA,2016,14.118049,0.26,15.216,16063.3280117331
USA,2017,13.280724,0.24,15.182,15728.2979634091
USA,2018,12.685773,0.25,15.224,15353.2812793493
