Country,ISC11_LEVEL_CAT,Time,STR
CZE,L3,2018,11.366
CZE,L5T8,2013,21.883000000000003
CZE,L5T8,2014,22.25
CZE,L5T8,2015,23.342
CZE,L5T8,2016,18.864
CZE,L5T8,2017,18.362000000000002
CZE,L5T8,2018,15.017000000000001
DNK,L0,2005,
DNK,L0,2010,
DNK,L0,2011,
DNK,L0,2012,
DNK,L0,2013,
DNK,L0,2014,10.384
DNK,L0,2015,
DNK,L0,2016,
DNK,L0,2017,
DNK,L0,2018,4.976
DNK,L1,2013,
DNK,L1,2014,11.859000000000002
DNK,L1,2015,
DNK,L1,2016,
DNK,L1,2017,
DNK,L1,2018,11.91
DNK,L2,2013,
DNK,L2,2014,11.043
DNK,L2,2015,
DNK,L2,2016,
DNK,L2,2017,
DNK,L2,2018,10.880999999999998
DNK,L3,2013,
DNK,L3,2014,13.09
DNK,L3,2015,
DNK,L3,2016,
DNK,L3,2017,
DNK,L3,2018,11.706
DNK,L5T8,2013,
DNK,L5T8,2014,14.285
DNK,L5T8,2015,
DNK,L5T8,2016,
DNK,L5T8,2017,
DNK,L5T8,2018,15.622
EST,L0,2005,
EST,L0,2010,
EST,L0,2011,
EST,L0,2012,
EST,L0,2013,8.92
EST,L0,2014,8.78
EST,L0,2015,8.581
EST,L0,2016,8.47
EST,L0,2017,8.533999999999999
EST,L0,2018,8.43
EST,L1,2011,12.892000000000001
EST,L1,2013,13.04
EST,L1,2014,12.892000000000001
EST,L1,2015,13.347000000000001
EST,L1,2016,13.192
EST,L1,2017,13.192
EST,L1,2018,13.145999999999999
EST,L2,2011,9.871
EST,L2,2013,9.802
EST,L2,2014,9.871
EST,L2,2015,9.544
EST,L2,2016,10.093
EST,L2,2017,10.043
EST,L2,2018,10.12
EST,L3,2011,14.649000000000001
EST,L3,2013,14.12
EST,L3,2014,14.649000000000001
EST,L3,2015,15.229000000000001
EST,L3,2016,15.345999999999998
EST,L3,2017,15.59
EST,L3,2018,15.712
EST,L5T8,2011,15.062000000000001
EST,L5T8,2013,
EST,L5T8,2014,15.062000000000001
EST,L5T8,2015,14.007
EST,L5T8,2016,13.905999999999999
EST,L5T8,2017,13.507
EST,L5T8,2018,12.847999999999999
FIN,L0,2005,
FIN,L0,2010,
FIN,L0,2011,
FIN,L0,2012,
FIN,L0,2013,
FIN,L0,2014,
FIN,L0,2015,
FIN,L0,2016,
FIN,L0,2017,
FIN,L0,2018,
FIN,L1,2013,13.197000000000001
FIN,L1,2014,13.332
FIN,L1,2015,13.584000000000001
FIN,L1,2016,13.322000000000001
FIN,L1,2017,13.667
FIN,L1,2018,13.585
FIN,L2,2013,9.027999999999999
FIN,L2,2014,8.936
FIN,L2,2015,8.97
FIN,L2,2016,8.996
FIN,L2,2017,8.926
FIN,L2,2018,8.921
FIN,L3,2013,15.994000000000002
FIN,L3,2014,16.244
FIN,L3,2015,16.474
FIN,L3,2016,17.213
FIN,L3,2017,18.214000000000002
FIN,L3,2018,18.863
FIN,L5T8,2013,13.825999999999999
FIN,L5T8,2014,14.213
FIN,L5T8,2015,15.118
FIN,L5T8,2016,15.280999999999999
FIN,L5T8,2017,15.505999999999998
FIN,L5T8,2018,15.327
FRA,L0,2005,
FRA,L0,2010,23.903000000000002
FRA,L0,2011,23.728
FRA,L0,2012,24.318
FRA,L0,2013,24.180999999999997
FRA,L0,2014,24.116
FRA,L0,2015,24.113000000000003
FRA,L0,2016,23.85
FRA,L0,2017,23.506999999999998
FRA,L0,2018,23.331999999999997
FRA,L1,2010,19.261
FRA,L1,2011,19.062
FRA,L1,2012,19.453
FRA,L1,2013,19.684
FRA,L1,2014,19.641
FRA,L1,2015,19.692999999999998
FRA,L1,2016,19.66
FRA,L1,2017,19.457
FRA,L1,2018,19.154
FRA,L2,2010,13.759
FRA,L2,2011,13.91
FRA,L2,2012,14.239
FRA,L2,2013,14.434000000000001
FRA,L2,2014,14.418
FRA,L2,2015,14.433
FRA,L2,2016,14.474
FRA,L2,2017,14.404000000000002
FRA,L2,2018,14.402000000000001
FRA,L3,2010,10.751
FRA,L3,2011,10.788
FRA,L3,2012,10.970999999999998
FRA,L3,2013,11.06
FRA,L3,2014,11.1
FRA,L3,2015,11.128
FRA,L3,2016,11.402999999999999
FRA,L3,2017,11.452
FRA,L3,2018,11.407
FRA,L5T8,2010,15.215
FRA,L5T8,2011,14.444
FRA,L5T8,2012,14.755
FRA,L5T8,2013,15.43
FRA,L5T8,2014,15.738
FRA,L5T8,2015,16.111
FRA,L5T8,2016,16.344
FRA,L5T8,2017,16.243
FRA,L5T8,2018,16.795
DEU,L0,2005,11.333
DEU,L0,2010,9.478
DEU,L0,2011,9.147
DEU,L0,2012,8.657
DEU,L0,2013,8.335
DEU,L0,2014,8.054
DEU,L0,2015,7.83
DEU,L0,2016,7.761
DEU,L0,2017,7.617000000000001
DEU,L0,2018,7.479
DEU,L1,2013,15.62
DEU,L1,2014,15.44
DEU,L1,2015,15.447000000000001
DEU,L1,2016,15.322000000000001
DEU,L1,2017,15.395999999999999
DEU,L1,2018,15.265
DEU,L2,2013,13.610999999999999
DEU,L2,2014,13.387
DEU,L2,2015,13.261
DEU,L2,2016,13.189
DEU,L2,2017,13.152000000000001
DEU,L2,2018,13.026
DEU,L3,2013,13.215
DEU,L3,2014,13.06
DEU,L3,2015,12.997
DEU,L3,2016,12.904000000000002
DEU,L3,2017,12.702
